id,nombre,categoria,precio,descripcion,ciudad,imagen,link,precio_cop,precio_cop_valor
MCO2071478818,Detector De Gas Natural Aicevoos Con Pantalla De Concentraci,Concentrado para ganado,284.711,"Detector de gas natural Aicevoos con pantalla de concentración de gases, detector de fugas de Gas F12 con cuello de ganso de 17 pulgadas, localizando la fuente de propano, gas natural y combustible Fuga de gas para el hogar y la RV (incluida la batería x3)Detecta gases combustibles con alcohol, Ammonio, butano, gasolina, hidrógeno, metano, gas natural, propano etc...

- Detector de fugas de gas eficaz El detetor de gases naturales Aicevoos FC puede ayudar con precisión localiza la fuga de gas combustible en un espacio apretado, tal como metano, gas natural, propano, GLP, gasolina, etc. *Nota: Por favor, permita 20 segundos de tiempo de calentamiento antes de la operación
Sonda flexible fácil de usarCon cuello de ganso flexible de 17 pulgadas( doblable en cualquiera dirección), el detector portátil de fugas de gas facilita acceso a áreas de difícil acceso, tales como gasoductos de gas natural, tanques de almacenamiento de propano, gas chimeneas, alcantarillados, sótano, autocaravanas y otro espacio estrecho. Se puede llevar a cualquier lugar para encontrar fugas al aire libre o en interior
- Alarma visual y ligera y audible Monitor de gas mejorado: funcionamiento fácil, LCD visualización en tiempo real. Alarma para luz, indicación de sonido tan rápido como 0,5 segundos de detección. Con pantalla LCD retroiluminada La concentración de gas combustible se puede leer claramente en la oscuridad. Alarma visual y sonora reaccionará seriamente a medida que la concentración de gas aumente. Sensibilidad alta y baja podría promover una detección más precisa.
- Funciones amigas del usuario U puede configurarlo para que se apague automáticamente, el el detector se apagará para ahorrar energía con una inacción de 10 minutos
- ¿Qué obtienes?Detector de fugas de gas 1×F12, baterías 3×AAA, maleta protectora de estrume, y 1×Manual del usuario. Por favor, no dude en contactarnos si tiene alguna pregunta o preocupación",,https://http2.mlstatic.com/D_NQ_NP_904492-CBT114172534059_072026-O.webp,https://www.mercadolibre.com.co/detector-de-gas-natural-aicevoos-con-pantalla-de-concentraci/p/MCO2071478818,882.604,882604.10
MCO1641784929,Reskine Colágeno Marino + Ganoderma,Concentrado para ganado,273.000,"Reskine Collagen Drink de Gano Excel es un suplemento alimenticio diseñado específicamente para aquellos que buscan mejorar su salud y bienestar. Con una mezcla única de colágeno marino y Ganoderma lucidum, este producto se destaca por sus propiedades antioxidantes y su capacidad para promover una piel sana, mientras aporta beneficios a las articulaciones y el sistema inmune.

Este suplemento se presenta en cómodos sachets listos para el consumo, lo que facilita su inclusión en su rutina diaria. Sus ingredientes de alta calidad, como betaglucanos de Ganoderma, quinoa, jugo de manzana concentrado, extracto de goji y jugo de aloe vera, ofrecen un perfil nutricional equilibrado y natural, libre de gluten y lactosa, ideal para veganos y personas con dietas restringidas.

Reskine Collagen Drink no solo es fácil de llevar, sino que también se adapta a cualquier estilo de vida, proporcionando un impulso de nutrientes esenciales sin complicaciones. Al incorporar este suplemento en tu día a día, puedes apoyar tu bienestar general y disfrutar de una sensación de vitalidad y energía.

Garantía de fábrica: 6 meses",,https://http2.mlstatic.com/D_NQ_NP_792747-MCO93518902685_092025-O.webp,https://www.mercadolibre.com.co/reskine-colageno-marino--ganoderma/up/MCOU3357063988#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=2&type=product&tracking_id=526b17d2-40b1-4a27-9001-111a18fbc5bc&wid=MCO1641784929&sid=search,846.300,846300.00
MCO2059416064,"Cargador Usb-c De 200 W, Concentrador De Estación Azul Claro",Concentrado para ganado,184.610,"POR FAVOR LEA ATENTAMENTE ANTES DE COMPRARPor que comprar con MS GLOBAL?Todos nuestros productos son 100% originales, nuevos e importados de Estados Unidos. Tenemos cobertura de entrega en todo el pais.Tu compra esta protegida! - - - - - - - - - - - - - - - PRODUCTO: Bloque de cargador USB C de 200 W, concentrador de estacion de carga rapida USB C GaN III 8 en 1, cargador de viaje con adaptador de cargador para computadora portatil PD 65 W, para MacBook S24-azul claro DESCRIPCION: Bloque de cargador USB C, cargador de escritorio rapido GaN III actualizado de 8 puertos, estacion de carga rapida PD 65W, adaptador de cargador para computadora portatil para todos los dispositivosLos detalles lo hacen sobresaliente:- Organizador de carga 8 en 1, devuelve tu escritorio ordenado. Enciende hasta 8 dispositivos simultaneamente, despidete de los problemas con los enchufes. Ya sea en casa, en la oficina o mientras viaja, mantengase cargado con facilidad.- Compatible con protocolos de carga multi-rapida, el puerto C1 admite una salida de hasta 65 W, lo que permite una carga rapida para computadoras portatiles y otros dispositivos de alta potencia.- Tecnologia de chip de generacion GaN III adaptada, sistema de proteccion multiple incorporado, reduce el tamano y el peso del bloque del cargador USB C y con mayor eficiencia energetica, menos generacion de calor.- El cuerpo estampado de sarga + el material ignifugo ABS lo convierten en una estacion de carga de escritorio integrada y elegante.- Cargador USB compacto listo para viajar, viene con un cable de alimentacion desmontable de 5 pies que es mas conveniente para desconectar y transportar, y sin limitacion de cable corto.- El adaptador de corriente USB C compatible con computadoras portatiles, telefonos inteligentes, tabletas, Airpods, Steam Deck, parlantes, ... ?Nueva estacion de carga USB 2024: potencia maxima, tiempo minimo?Bloque de carga rapida USB C con 4 puertos USB C y 4 puertos USB A, compatible con una variedad de protocolos de carga rapida, incluidos PPS, PD3.0, QC4.0+, 3A, AFC, SCP y mas, proporciona una experiencia de carga mas rapida para sus dispositivos. El puerto unico USB C1 de 65 W puede aumentar eficientemente el Macbook Pro hasta un 50 % o el iPhone 15 hasta un 71 % en 30 minutos. Experimente la comodidad de alimentar 8Los dispositivos a la vez con estaciones de carga FOCHEW tienen una potencia total de 200W. ?Tecnologia avanzada GaN III - Tamano mas pequeno, eficiencia optima? Cargador USB C GaN con mayor eficiencia energetica y disipacion de calor mejorada, chip integrado de nitruro de galio (GaN) premium que hace que nuestra estacion de carga USB C sea mas pequena y segura sin sacrificar una gota de energia, tambien con proteccion contra sobrecarga, proteccion contra sobrecalentamiento, proteccion contra cortocircuitos, proteccion contra sobrecorriente y proteccion contra sobretension, ademas, la carcasa esta hecha de material ignifugo PC V0, maximizando la seguridad de carga. ?Diseno compacto y portatil?El cargador GaN de carga rapida con bloque de cargador USB C le permite despedirse de multiples cargadores voluminosos, mide solo 4,90 x 3,09 x 1,18 pulgad... Color: Light Blue Marca: FOCHEW Dimensiones: 0.03 x 0.125 x 0.078 mtsPeso del Producto: 0.372 Kilogramos.Peso de Envio: 0.372 Kilogramos. - - - - - - - - - - - - - - - IMPORTANTE- Rapidez en envio: PRODUCTO DISPONIBLE para envio Internacional (Se demora aproximadamente 25 dias en llegar a tu casa -dependiendo tu codigo postal-).- No realizamos factura fiscal.- Muchos de nuestros productos se venden en EEUU y vienen en idioma ingles, medidas en pies o pulgadas, y funcionan a 110V. (Ejemplo: juegos, libros, electronicos, alfombras, etc). - Asesoria: Aclara todas tus dudas sobre compatibilidad en la seccion de preguntas, estamos para servirte.Gracias por confiar en nosotros!",,https://http2.mlstatic.com/D_NQ_NP_625548-CBT110267759982_052026-O.webp,https://www.mercadolibre.com.co/cargador-usb-c-de-200-w-concentrador-de-estacion-azul-claro/p/MCO2059416064#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=3&type=product&tracking_id=526b17d2-40b1-4a27-9001-111a18fbc5bc&wid=MCO3922145540&sid=search,572.291,572291.00
MCO1860812133,Reskine Colágeno Marino + Ganoderma,Concentrado para ganado,273.000,"Reskine Colágeno Marino + Ganoderma es un suplemento alimenticio diseñado para quienes buscan mejorar su bienestar general. Este producto de Gano Excel combina colágeno marino de alta calidad con Ganoderma Lucidum, conocido por sus propiedades antioxidantes y energizantes. Su formato en bebida lista para el consumo facilita su incorporación en la rutina diaria, ideal para personas activas que desean mantener su vitalidad.

Cada sachet contiene una mezcla nutritiva que incluye quinua roja líquida, extracto de frutos rojos, concentrado de jugo de manzana, jugo de aloe vera, extracto de goji y jugo de espinaca en polvo. Esta combinación no solo apoya la salud de la piel, sino que también contribuye a un sistema inmunológico fuerte y a una mejor digestión.

Reskine es libre de gluten y no contiene lactosa, lo que lo convierte en una opción adecuada para diversas dietas. Su fórmula está diseñada para ser consumida por personas de todas las edades, brindando un impulso nutricional que se adapta a las necesidades de cada individuo.

Incorporar Reskine Colágeno Marino + Ganoderma en tu día a día es una forma sencilla de cuidar tu salud y bienestar. Disfruta de una bebida deliciosa y nutritiva que te ayudará a sentirte mejor desde adentro hacia afuera.

Garantía de fábrica: 6 meses",,https://http2.mlstatic.com/D_NQ_NP_742959-MCO107999911188_032026-O.webp,https://www.mercadolibre.com.co/reskine-colageno-marino--ganoderma/up/MCOU3849701248#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=4&type=product&tracking_id=526b17d2-40b1-4a27-9001-111a18fbc5bc&wid=MCO1860812133&sid=search,846.300,846300.00
MCO2084168915,Concentrador De Alimentación Usb C Gan Iii Mivicoo De 660 W Y 10 Puertos,Concentrado para ganado,296.381,"ZERO INTERNACIONAL - VENDIDA GLOBAL PLATÍNICA
Horario de asistencia al cliente (mensajes y preguntas): Lunes a viernes a partir de las 10:00 AM a las 20:00 PM GMT-3 (Buenos Aires)

---------------------

Hubo del cargador USB C de Mivicoo 660W 10 puertos GaN III

Experimente la próxima generación de carga con la estación de recarga Mivicoo 660W, diseñado para alimentar todos sus dispositivos simultáneamente. Equipado con tecnología GaN III de vanguardia y un total de 10 puertos, esta estación de carga es la solución definitiva para el hogar, oficina o viaje. Olvídate de cargadores voluminosos y salidas insuficientes; Mivicoo ofrece eficiencia y comodidad en un solo dispositivo.

Con seis puertos USB-C y cuatro USB - A, esta estación puede cargar rápidamente hasta 10 dispositivos, incluyendo portátiles, smartphones, relojes inteligentes y tabletas. Disfrute de velocidades extremas que le permiten cargar sus dispositivos desde 0% hasta el 60% en unos 30 minutos, optimizando su tiempo y manteniendo su gadgets listos para la acción con alta eficiencia y bajo consumo de energía.

La seguridad es una prioridad, y Mivicoo lo asegura con su GaN avanzado Tecnología de chip III, proporcionando múltiples capas de protección. Este sistema protege sus dispositivos contra sobrecarga, sobrecalentamiento, cortocircuitos, exceso de corriente y sobretensión. Además, incorpora un sistema inteligente de monitoreo de temperatura y reconocimiento de tensión inteligente, asegurando una carga segura y prolongando la vida útil de su electrónica. Su diseño ligero y portátil lo hace un accesorio indispensable para cualquier viajero.

Características clave:
- Carga de velocidad extrema con tecnología GaN III.
- Seis puertos USB-C: dos 140W, dos 65W y dos 30W PD PPS.
- Cuatro puertos de carga rápida USB-A 60W QC.
- Carga rápida simultánea para hasta 10 dispositivos.
- Protección integral contra sobrecarga, sobrecalentamiento y cortocircuitos.
- Sistema inteligente de monitoreo de temperatura y reconocimiento de tensión inteligente.
- Diseño ligero y portátil, ideal para viajes y diversos ambientes.
- Compatibilidad amplia con portátiles, smartphones, tabletas, audífonos y más.

Especificaciones:
- Marca: Mivicoo
- Modelo: Carga de 660W
- Color: Negro
- Puertos USB: 10 (6 USB C, 4 USB A)
- Potencia total: 660W
- Tecnología: GaN III

Peso del paquete: 0,73 kg
Tamaño del paquete: 18 x 12 x 7 cm

---------------------

ENVÍO INTERNACIONAL:
Los plazos de entrega dependen de la logística de aduanas e importaciones. Sin embargo, puede ver un tiempo de entrega estimado bastante preciso en la lista.
Todos los envíos incluyen seguimiento y soporte de nuestro equipo.

COSTOS:
Mientras que el nuevo sistema internacional de compras proporciona una experiencia más suave, es importante considerar los costos de importación añadidos al precio del producto. Esto incluye principalmente el IVA, que debe ser pagado en el momento de la compra. Además, si el precio del producto excede de USD 400, se aplicarán derechos de importación, como se detalla en su resumen de compra.

GARANTÍA:
Todos nuestros productos vienen con una garantía de 30 días, incluyendo devoluciones expresas en caso en que el producto tenga algún defecto.

COMPATIBILIDAD ELECTRICA:
Algunos productos pueden estar diseñados para 110V dependiendo de su país de origen. Recomendamos comprobar la tensión antes de comprar y, si es necesario, usando transformador para un funcionamiento adecuado.

Garantía del vendedor: 30 días",,https://http2.mlstatic.com/D_NQ_NP_741945-CBT114186980840_082026-O.webp,https://www.mercadolibre.com.co/concentrador-de-alimentacion-usb-c-gan-iii-mivicoo-de-660-w-y-10-puertos/up/MCOU4546870429#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=5&type=product&tracking_id=526b17d2-40b1-4a27-9001-111a18fbc5bc&wid=MCO2084168915&sid=search,918.781,918781.10
https://www.mercadolibre.com.co/sal-mineralizada--al-11----40-kilos-agro/up/MCOU2430226773,"Sal Mineralizada Al 11 % * 40 Kilos, Agro",Sal mineralizada bovinos,150.282,"Descripción: Sal Mineralizada Al 11 % * 40 Kilos, Agro
Cantidad: 40 KILOS BULTO
Peso:40 KILOS
LO MEJOR EN NUTRICION GANADERA Y EQUINA

Sin garantía",,https://http2.mlstatic.com/D_NQ_NP_987720-MCO45246537177_032021-O.webp,https://www.mercadolibre.com.co/sal-mineralizada--al-11----40-kilos-agro/up/MCOU2430226773,465.874,465874.20
MCO614802584,Sal Mineralizada Somex Al 6 % * 40 Ki - Kg A $3748,Sal mineralizada bovinos,261.680,"Descripción: Sal Mineralizada Somex Al 6 % * 40 Kilos
Cantidad: 40 KILOS BULTO
Peso:40 KILOS
LO MEJOR EN NUTRICION GANADERA Y EQUINA

Sin garantía",,https://http2.mlstatic.com/D_NQ_NP_612562-MCO45437751652_042021-O.webp,https://www.mercadolibre.com.co/sal-mineralizada-somex--al-6---40-ki--kg-a-3748/up/MCOU2430226719#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=2&type=product&tracking_id=80f01748-fc8f-4b26-8f3f-02b5e94504ba&wid=MCO614802584&sid=search,811.208,811208.00
MCO613541879,Sal Mineralizada Somex Al 4 % * 40 Ki - Kg A $3498,Sal mineralizada bovinos,212.368,"Descripción: Sal Mineralizada Somex Al 4 % * 40 Kilos
Cantidad: 40 KILOS BULTO
Peso:40 KILOS
LO MEJOR EN NUTRICION GANADERA Y EQUINA

Sin garantía",,https://http2.mlstatic.com/D_NQ_NP_733275-MCO45437912097_042021-O.webp,https://www.mercadolibre.com.co/sal-mineralizada-somex--al-4---40-ki--kg-a-3498/up/MCOU2434937736#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=3&type=product&tracking_id=80f01748-fc8f-4b26-8f3f-02b5e94504ba&wid=MCO613541879&sid=search,658.341,658340.80
MCO3828183698,Sal Mineralizada 6% 40 Kg,Sal mineralizada bovinos,230.000,Sal Mineralizada 6% 40 Kg. Publicación de Mercado Libre Colombia sin descripción detallada del vendedor.,,https://http2.mlstatic.com/D_NQ_NP_918696-MLA109275215674_042026-O.webp,https://www.mercadolibre.com.co/sal-mineralizada-6--40-kg/up/MCOU3892256714#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=4&type=product&tracking_id=80f01748-fc8f-4b26-8f3f-02b5e94504ba&wid=MCO3828183698&sid=search,713.000,713000.00
MCO66774838,Sal Del Himalaya En Bloque X 2.5kg Aproximadamente,Sal mineralizada bovinos,36.100,"BLOQUES DE SAL ROSADA DEL HIMALAYA PARA EQUINOS




Los bloques de sal del Himalaya son además de ser un juguete desestresante para su equino, el suplemento perfecto de nutrición y minerales de sal para ganado, caballos y otros animales. Con todos los nutrientes esenciales que necesita el animal en todas las etapas de la vida, son una parte esencial de la alimentación diaria.

Los bloques de sal son especialmente importantes en condiciones climáticas adversas y entornos con poca disponibilidad de los nutrientes necesarios, así como elementos como fósforo, sodio, calcio, hierro, zinc y otros oligoelementos necesarios para la formación de huesos, músculos y otros en animales. Las vacas lactantes, por ejemplo, son particularmente vulnerables a la deficiencia de sal y todos los días, necesitan sal para producir leche que contenga una buena cantidad de sodio y cloruro.

Los bloques de sal del Himalaya son más que solo sal: son un complemento de salud completo para ganado, incluidos caballos, vacas, búfalos. El ganado requiere sal todos los días para el mantenimiento de la presión osmótica, el equilibrio ácido-base, el equilibrio líquido-cuerpo, la transmisión nerviosa y el transporte activo de aminoácidos, así como la absorción celular de la proteína transportadora de glucosa, y el sodio, como parte de la sal, proporciona la mayoría de reserva alcalina en plasma. El cloro es necesario para la activación de la amilasa, la formación de ácido gástrico de HCl, y es fundamental para la respiración y la regulación del pH de la sangre.

La deficiencia de sal puede causar calambres musculares, pelo áspero, disminución de la ingesta de alimento, lamer y masticar varios objetos, así como una disminución de la producción. Las vacas lecheras son las más afectadas primero por la deficiencia de sal y pueden colapsar y morir si han tenido deficiencia de sal durante un largo período de tiempo.

Es extraída de una roca de cristal de sal de grado alimenticio para elaborar bloques de sal comprimida natural. La sal de lamer natural viene con cuerda para colgarla fácilmente en cercas y

ramas de árboles en el pasto. Estos bloques de sal son resistentes a la intemperie y se producen en diferentes pesos para colgarlas en la granja y los campos para que los animales se 'auto-dosifiquen' según sea necesario.


Los bloques de sal naturales no se procesan y no tienen aditivos químicos, son puramente orgánicos y económicos como nutrientes para el ganado. Proporcionan al ganado y a los animales la cantidad correcta de minerales necesarios para un crecimiento y producción saludables.
Los bloques de sal comprimidos también están hechos de sal rosa 100% natural sin aditivos ni derivados.

PRESENTACIÓN:

Estos bloques de sal rosada del Himalaya natural que contienen 84 minerales y oligoelementos están disponibles en bloques de 2.5 Kls.",,https://http2.mlstatic.com/D_NQ_NP_662340-MLA108108829628_032026-O.webp,https://www.mercadolibre.com.co/sal-del-himalaya-en-bloque-x-25kg-aproximadamente/p/MCO66774838#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=5&type=product&tracking_id=80f01748-fc8f-4b26-8f3f-02b5e94504ba&wid=MCO1863461635&sid=search,111.910,111910.00
